Variable,Units,Description
H_CORR,,"Sensible heat flux, corrected H_F_MDS by energy balance closure correction factor"
HH,W m-2,
DD,W m-2,average from half-hourly data
WW-YY,W m-2,average from daily data
H_CORR_25,,"Sensible heat flux, corrected H_F_MDS by energy balance closure correction factor, 25th percentile"
HH,W m-2,
DD,W m-2,average from half-hourly data
WW-YY,,not available
H_CORR_75,,"Sensible heat flux, corrected H_F_MDS by energy balance closure correction factor, 75th percentile"
HH,W m-2,
DD,W m-2,average from half-hourly data
WW-YY,,not available
H_RANDUNC,,"Random uncertainty of H, from measured only data"
HH,W m-2,uses only data point where H_F_MDS_QC is 0 and two hierarchical methods (see header and H_RANDUNC_METHOD)
DD-YY,W m-2,"from random uncertainty of individual half-hours (rand(i)) = [SQRT(SUM(rand(i)^2)) / n], where n is the number of half-hours used"
H_RANDUNC_METHOD,,Method used to estimate the random uncertainty of H
HH,nondimensional,"1 = RANDUNC Method 1 (direct SD method), 2 = RANDUNC Method 2 (median SD method)"
DD-YY,,not available
H_RANDUNC_N,,Number of half-hour data points used to estimate the random uncertainty of H
HH,nondimensional,
DD-YY,,not available
H_CORR_JOINTUNC,,Joint uncertainty estimation for H
HH-DD,W m-2,[SQRT(H_RANDUNC^2 + ((H_CORR75 - H_CORR25) / 1.349)^2)]
WW-YY,,not available
EBC_CF_N,,Number of data points used to calculate energy closure balance correction factor. Driver data points within sliding window (ECB_CF Method 1) or number of ECB_CF data points (for ECB_CF Methods 2 and 3)
HH,nondimensional,"for ECB_CF Method 1 (minimum 5, maximum 93)"
DD,nondimensional,"for ECB_CF Method 1 (minimum 5, maximum 15)"
WW-YY,nondimensional,"fraction between 0-1, indicating percentages of half-hours used with respect to theoretical maximum number of half hours"
EBC_CF_METHOD,,Method used to calculate the energy balance closure correction factor
HH-YY,nondimensional,"1 = ECB_CF Method 1, 2 = ECB_CF Method 2, 3 = ECB_CF Method 3. See general description for details"
,,
NET ECOSYSTEM EXCHANGE,,
NIGHT,,Flag indicating nighttime interval based on SW_IN_POT
HH,nondimensional,"0 = daytime, 1 = nighttime"
DD-YY,,not available
NIGHT_D,,"Number of half hours classified as nighttime in the period, i.e., when SW_IN_POT is 0"
HH,,not available
DD,nondimensional,number of half-hours
WW-MM,nondimensional,number of halfhours (average of the daily data)
YY,,not available
DAY_D,,"Number of half hours classified as daytime in the period, i.e., when SW_IN_POT is greater than 0"
HH,,not available
DD,nondimensional,number of half-hours
WW-MM,nondimensional,number of halfhours (average of the daily data)
YY,,not available
NIGHT_RANDUNC_N,,Number of half hours classified as nighttime and used to calculate the aggregated random uncertainty
HH,,not available
DD,nondimensional,number of half-hours
WW-YY,nondimensional,number of halfhours (average of the daily data)
DAY_RANDUNC_N,,Number of half hours classified as daytime and used to calculate the aggregated random uncertainty
HH,,not available
DD,nondimensional,number of half-hours
WW-YY,nondimensional,number of halfhours (average of the daily data)
NEE_CUT_REF,,"Net Ecosystem Exchange, using Constant Ustar Threshold (CUT) across years, reference selected on the basis of the model efficiency (MEF). The MEF analysis is repeated for each time aggregation"
HH,µmolCO2 m-2 s-1,
DD,gC m-2 d-1,calculated from half-hourly data
WW-MM,gC m-2 d-1,average from daily data
YY,gC m-2 y-1,sum from daily data
NEE_VUT_REF,,"Net Ecosystem Exchange, using Variable Ustar Threshold (VUT) for each year, reference selected on the basis of the model efficiency (MEF). The MEF analysis is repeated for each time aggregation"
HH,µmolCO2 m-2 s-1,
DD,gC m-2 d-1,calculated from half-hourly data
WW-MM,gC m-2 d-1,average from daily data
YY,gC m-2 y-1,sum from daily data
NEE_CUT_REF_QC,,Quality flag for NEE_CUT_REF
HH,nondimensional,0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor
DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
NEE_VUT_REF_QC,,Quality flag for NEE_VUT_REF
HH,nondimensional,0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor
DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
NEE_CUT_REF_RANDUNC,,"Random uncertainty for NEE_CUT_REF, from measured only data"
HH,µmolCO2 m-2 s-1,uses only data points where NEE_CUT_REF_QC is 0 and two hierarchical methods - see header and NEE_CUT_REF_RANDUNC_METHOD
DD-MM,gC m-2 d-1,"from random uncertainty of individual half-hours (rand(i)) = [SQRT(SUM(rand(i)^2)) / n], where n is the number of half-hours used"
YY,gC m-2 y-1,"from random uncertainty of individual half-hours (rand(i)) = [SQRT(SUM(rand(i)^2)) / n], where n is the number of half-hours used"
NEE_VUT_REF_RANDUNC,,"Random uncertainty for NEE_VUT_REF, from measured only data"
HH,µmolCO2 m-2 s-1,uses only data points where NEE_VUT_REF_QC is 0 and two hierarchical methods - see header and NEE_VUT_REF_RANDUNC_METHOD
DD-MM,gC m-2 d-1,"from random uncertainty of individual half-hours (rand(i)) = [SQRT(SUM(rand(i)^2)) / n], where n is the number of half-hours used"
YY,gC m-2 y-1,"from random uncertainty of individual half-hours (rand(i)) = [SQRT(SUM(rand(i)^2)) / n], where n is the number of half-hours used"
NEE_CUT_REF_RANDUNC_METHOD,,Method used to estimate the random uncertainty of NEE_CUT_REF
HH,nondimensional,"1 = RANDUNC Method 1 (direct SD method), 2 = RANDUNC Method 2 (median SD method)"
DD-YY,,not available
NEE_VUT_REF_RANDUNC_METHOD,,Method used to estimate the random uncertainty of NEE_VUT_REF
HH,nondimensional,"1 = RANDUNC Method 1 (direct SD method), 2 = RANDUNC Method 2 (median SD method)"
DD-YY,,not available
NEE_CUT_REF_RANDUNC_N,,Number of data points used to estimate the random uncertainty of NEE_CUT_REF
HH,nondimensional,
DD-YY,,not available
NEE_VUT_REF_RANDUNC_N,,Number of data points used to estimate the random uncertainty of NEE_VUT_REF
HH,nondimensional,
DD-YY,,not available
NEE_CUT_REF_JOINTUNC,,"Joint uncertainty estimation for NEE_CUT_REF, including random uncertainty and USTAR filtering uncertainty"
HH,µmolCO2 m-2 s-1,[SQRT(NEE_CUT_REF_RANDUNC^2 + ((NEE_CUT_84 - NEE_CUT_16) / 2)^2)] for each half-hour
DD,gC m-2 d-1,[SQRT(NEE_CUT_REF_RANDUNC^2 + ((NEE_CUT_84 - NEE_CUT_16) / 2)^2)] for each day
WW,gC m-2 d-1,[SQRT(NEE_CUT_REF_RANDUNC^2 + ((NEE_CUT_84 - NEE_CUT_16) / 2)^2)] for each week
MM,gC m-2 d-1,[SQRT(NEE_CUT_REF_RANDUNC^2 + ((NEE_CUT_84 - NEE_CUT_16) / 2)^2)] for each month
YY,gC m-2 y-1,[SQRT(NEE_CUT_REF_RANDUNC^2 + ((NEE_CUT_84 - NEE_CUT_16) / 2)^2)] for each year
NEE_VUT_REF_JOINTUNC,,"Joint uncertainty estimation for NEE_VUT_REF, including random uncertainty and USTAR filtering uncertainty"
HH,µmolCO2 m-2 s-1,[SQRT(NEE_VUT_REF_RANDUNC^2 + ((NEE_VUT_84 - NEE_VUT_16) / 2)^2)] for each half-hour
DD,gC m-2 d-1,[SQRT(NEE_VUT_REF_RANDUNC^2 + ((NEE_VUT_84 - NEE_VUT_16) / 2)^2)] for each day
WW,gC m-2 d-1,[SQRT(NEE_VUT_REF_RANDUNC^2 + ((NEE_VUT_84 - NEE_VUT_16) / 2)^2)] for each week
MM,gC m-2 d-1,[SQRT(NEE_VUT_REF_RANDUNC^2 + ((NEE_VUT_84 - NEE_VUT_16) / 2)^2)] for each month
YY,gC m-2 y-1,[SQRT(NEE_VUT_REF_RANDUNC^2 + ((NEE_VUT_84 - NEE_VUT_16) / 2)^2)] for each year
NEE_CUT_USTAR50,,"Net Ecosystem Exchange, using Constant Ustar Threshold (CUT) across years, from 50 percentile of USTAR threshold"
HH,µmolCO2 m-2 s-1,
DD,gC m-2 d-1,calculated from half-hourly data
WW-MM,gC m-2 d-1,average from daily data
YY,gC m-2 y-1,sum from daily data
NEE_VUT_USTAR50,,"Net Ecosystem Exchange, using Variable Ustar Threshold (VUT) for each year, from 50 percentile of USTAR threshold"
HH,µmolCO2 m-2 s-1,
DD,gC m-2 d-1,calculated from half-hourly data
WW-MM,gC m-2 d-1,average from daily data
YY,gC m-2 y-1,sum from daily data
NEE_CUT_USTAR50_QC,,Quality flag for NEE_CUT_USTAR50
